video,original_score,inpainted_score
#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2,0.995501214477294,0.994728894274794
#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0,0.9921830070688294,0.9935448650323778
100_Second_Handstand_handstand_f_nm_np1_ba_bad_0,0.9845677043138548,0.9910622870164209
100_pullups_pullup_f_nm_np1_fr_med_1,0.98664924665392,0.9862185584005543
100_pullups_pullup_f_nm_np1_fr_med_2,0.986260690014084,0.9855108789624734
100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_1,0.9871193272372458,0.9826755514455652
100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_2,0.9873162938038238,0.9815299805196535
100_push_ups_pushup_f_nm_np1_ri_med_0,0.9818545732936264,0.9824198217537152
100_push_ups_pushup_f_nm_np1_ri_med_1,0.9807878200688434,0.9835374132871033
100_push_ups_pushup_f_nm_np1_ri_med_2,0.9840687837507793,0.9861370151435406
103_years_old_japanese_woman__Nao_is_clapping_with_piano_music_by_beethoven_clap_u_nm_np1_fr_med_0,0.9725371687501675,0.9774909099668483
10YearOldYouthBasketballStarBaller_dribble_f_nm_np1_ba_med_17,0.9809009425787211,0.9864854016115779
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_11,0.9938594018287351,0.992832803501985
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_12,0.993790386787582,0.9928784327856435
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ri_med_15,0.9930577574143462,0.993450956127393
10_Pull_Ups_pullup_f_nm_np1_fr_goo_0,0.9935020747438393,0.9917537199995635
10_Pull_Ups_pullup_f_nm_np1_fr_goo_1,0.993366852148394,0.9914214696550999
10_Pull_Ups_pullup_f_nm_np1_fr_goo_2,0.9922488570210356,0.9912496611829037
19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_0,0.9832444559903799,0.9873402026615948
19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_1,0.9811911472984797,0.9855233792178218
20060723sfjffjewcy_walk_f_nm_np1_fr_med_0,0.9825973110105464,0.9873591060108051
20060723sfjffjewcy_walk_f_nm_np1_fr_med_1,0.9811989468567893,0.9865316840702177
20060723sfjffsomelikeitwarmed_sit_u_nm_np1_fr_goo_1,0.9790859212696075,0.9851879164514963
20_good_form_pullups_pullup_f_nm_np1_ri_goo_0,0.9951804658923569,0.9952348649585384
20_good_form_pullups_pullup_f_nm_np1_ri_goo_1,0.9951860414119799,0.995254269987206
20_good_form_pullups_pullup_f_nm_np1_ri_goo_2,0.9940634905613693,0.9947214681996354
35_pull_ups_pullup_f_nm_np1_fr_goo_0,0.9937420257406736,0.9923605903757101
35_pull_ups_pullup_f_nm_np1_fr_goo_1,0.9948134885941393,0.9931821292308161
35_pull_ups_pullup_f_nm_np1_fr_goo_2,0.9933896968461436,0.9935428558408627
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_0,0.9961024707364449,0.995102551298504
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_1,0.9967683454825457,0.9946288836854458
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_3,0.9968283974486899,0.9957809106692821
