clip_id,path,class,camera_motion,video_quality,fps,frames,width,height,duration_sec,has_letterbox,letterbox_ratio,L_top_px,L_bottom_px,L_left_px,L_right_px
#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pick\#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2.avi,pick,static,bad,30,118,320,240,3.933333333333333,FALSE,0,0,0,0,0
#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pick\#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0.avi,pick,static,bad,30,70,320,240,2.3333333333333335,FALSE,0,0,0,0,0
100_Second_Handstand_handstand_f_nm_np1_ba_bad_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\handstand\100_Second_Handstand_handstand_f_nm_np1_ba_bad_0.avi,handstand,static,bad,30,67,320,240,2.2333333333333334,FALSE,0,0,0,0,0
100_pullups_pullup_f_nm_np1_fr_med_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\100_pullups_pullup_f_nm_np1_fr_med_1.avi,pullup,static,medium,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
100_pullups_pullup_f_nm_np1_fr_med_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\100_pullups_pullup_f_nm_np1_fr_med_2.avi,pullup,static,medium,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pushup\100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_1.avi,pushup,static,good,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pushup\100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_2.avi,pushup,static,good,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
100_push_ups_pushup_f_nm_np1_ri_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pushup\100_push_ups_pushup_f_nm_np1_ri_med_0.avi,pushup,static,medium,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
100_push_ups_pushup_f_nm_np1_ri_med_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pushup\100_push_ups_pushup_f_nm_np1_ri_med_1.avi,pushup,static,medium,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
100_push_ups_pushup_f_nm_np1_ri_med_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pushup\100_push_ups_pushup_f_nm_np1_ri_med_2.avi,pushup,static,medium,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
103_years_old_japanese_woman__Nao_is_clapping_with_piano_music_by_beethoven_clap_u_nm_np1_fr_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\clap\103_years_old_japanese_woman__Nao_is_clapping_with_piano_music_by_beethoven_clap_u_nm_np1_fr_med_0.avi,clap,static,medium,30,75,320,240,2.5,FALSE,0,0,0,0,0
10YearOldYouthBasketballStarBaller_dribble_f_nm_np1_ba_med_17,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\dribble\10YearOldYouthBasketballStarBaller_dribble_f_nm_np1_ba_med_17.avi,dribble,static,medium,30,100,320,240,3.3333333333333335,FALSE,0,0,0,0,0
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_11,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_11.avi,shoot_ball,static,medium,30,81,320,240,2.7,FALSE,0,0,0,0,0
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_12,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_12.avi,shoot_ball,static,medium,30,81,320,240,2.7,FALSE,0,0,0,0,0
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ri_med_15,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ri_med_15.avi,shoot_ball,static,medium,30,96,320,240,3.2,FALSE,0,0,0,0,0
10_Pull_Ups_pullup_f_nm_np1_fr_goo_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\10_Pull_Ups_pullup_f_nm_np1_fr_goo_0.avi,pullup,static,good,30,71,320,240,2.3666666666666667,FALSE,0,0,0,0,0
10_Pull_Ups_pullup_f_nm_np1_fr_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\10_Pull_Ups_pullup_f_nm_np1_fr_goo_1.avi,pullup,static,good,30,81,320,240,2.7,FALSE,0,0,0,0,0
10_Pull_Ups_pullup_f_nm_np1_fr_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\10_Pull_Ups_pullup_f_nm_np1_fr_goo_2.avi,pullup,static,good,30,81,320,240,2.7,FALSE,0,0,0,0,0
19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\draw_sword\19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_0.avi,draw_sword,static,bad,30,81,320,240,2.7,FALSE,0,0,0,0,0
19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\draw_sword\19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_1.avi,draw_sword,static,bad,30,78,320,240,2.6,FALSE,0,0,0,0,0
20060723sfjffjewcy_walk_f_nm_np1_fr_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\walk\20060723sfjffjewcy_walk_f_nm_np1_fr_med_0.avi,walk,static,medium,30,115,320,240,3.8333333333333335,FALSE,0,0,0,0,0
20060723sfjffjewcy_walk_f_nm_np1_fr_med_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\walk\20060723sfjffjewcy_walk_f_nm_np1_fr_med_1.avi,walk,static,medium,30,75,320,240,2.5,FALSE,0,0,0,0,0
20060723sfjffsomelikeitwarmed_sit_u_nm_np1_fr_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\sit\20060723sfjffsomelikeitwarmed_sit_u_nm_np1_fr_goo_1.avi,sit,static,good,30,79,320,240,2.6333333333333333,FALSE,0,0,0,0,0
20_good_form_pullups_pullup_f_nm_np1_ri_goo_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\20_good_form_pullups_pullup_f_nm_np1_ri_goo_0.avi,pullup,static,good,30,81,320,240,2.7,FALSE,0,0,0,0,0
20_good_form_pullups_pullup_f_nm_np1_ri_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\20_good_form_pullups_pullup_f_nm_np1_ri_goo_1.avi,pullup,static,good,30,80,320,240,2.6666666666666665,FALSE,0,0,0,0,0
20_good_form_pullups_pullup_f_nm_np1_ri_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\20_good_form_pullups_pullup_f_nm_np1_ri_goo_2.avi,pullup,static,good,30,81,320,240,2.7,FALSE,0,0,0,0,0
35_pull_ups_pullup_f_nm_np1_fr_goo_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\35_pull_ups_pullup_f_nm_np1_fr_goo_0.avi,pullup,static,good,30,80,320,240,2.6666666666666665,FALSE,0,0,0,0,0
35_pull_ups_pullup_f_nm_np1_fr_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\35_pull_ups_pullup_f_nm_np1_fr_goo_1.avi,pullup,static,good,30,79,320,240,2.6333333333333333,FALSE,0,0,0,0,0
35_pull_ups_pullup_f_nm_np1_fr_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\35_pull_ups_pullup_f_nm_np1_fr_goo_2.avi,pullup,static,good,30,80,320,240,2.6666666666666665,FALSE,0,0,0,0,0
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_0.avi,shoot_ball,static,medium,30,77,320,240,2.566666666666667,FALSE,0,0,0,0,0
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_1.avi,shoot_ball,static,medium,30,86,320,240,2.8666666666666667,FALSE,0,0,0,0,0
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_3,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_3.avi,shoot_ball,static,medium,30,91,320,240,3.033333333333333,FALSE,0,0,0,0,0
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_4,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_4.avi,shoot_ball,static,medium,30,92,320,240,3.066666666666667,FALSE,0,0,0,0,0
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_5,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_5.avi,shoot_ball,static,medium,30,89,320,240,2.966666666666667,FALSE,0,0,0,0,0
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_6,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_ball\3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_6.avi,shoot_ball,static,medium,30,89,320,240,2.966666666666667,FALSE,0,0,0,0,0
50_FIRST_DATES_run_f_nm_np1_ba_med_20,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\run\50_FIRST_DATES_run_f_nm_np1_ba_med_20.avi,run,static,medium,30,80,320,240,2.6666666666666665,FALSE,0,0,0,0,0
50_FIRST_DATES_sit_f_nm_np1_le_med_4,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\sit\50_FIRST_DATES_sit_f_nm_np1_le_med_4.avi,sit,static,medium,30,75,320,240,2.5,FALSE,0,0,0,0,0
50_FIRST_DATES_stand_u_nm_np1_fr_med_8,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\stand\50_FIRST_DATES_stand_u_nm_np1_fr_med_8.avi,stand,static,medium,30,75,320,240,2.5,FALSE,0,0,0,0,0
50_pull_ups_made_in_germany_pullup_f_nm_np1_le_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\50_pull_ups_made_in_germany_pullup_f_nm_np1_le_med_0.avi,pullup,static,medium,30,79,320,240,2.6333333333333333,FALSE,0,0,0,0,0
50_pull_ups_made_in_germany_pullup_f_nm_np1_le_med_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\pullup\50_pull_ups_made_in_germany_pullup_f_nm_np1_le_med_1.avi,pullup,static,medium,30,79,320,240,2.6333333333333333,FALSE,0,0,0,0,0
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\situp\5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_2.avi,situp,static,good,30,99,320,240,3.3,FALSE,0,0,0,0,0
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_3,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\situp\5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_3.avi,situp,static,good,30,109,320,240,3.6333333333333333,FALSE,0,0,0,0,0
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_4,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\situp\5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_4.avi,situp,static,good,30,103,320,240,3.433333333333333,FALSE,0,0,0,0,0
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_le_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\situp\5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_le_goo_1.avi,situp,static,good,30,102,320,240,3.4,FALSE,0,0,0,0,0
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_le_goo_5,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\situp\5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_le_goo_5.avi,situp,static,good,30,111,320,240,3.7,FALSE,0,0,0,0,0
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\shoot_bow\6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_0.avi,shoot_bow,static,medium,30,82,320,240,2.7333333333333334,FALSE,0,0,0,0,0
